"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PPP","TOT","NATUSD","A","2020",1.407781,
"AUT","PPP","TOT","NATUSD","A","2020",0.762386,
"BEL","PPP","TOT","NATUSD","A","2020",0.743996,
"CAN","PPP","TOT","NATUSD","A","2020",1.260869,
"CZE","PPP","TOT","NATUSD","A","2020",12.767303,
"DNK","PPP","TOT","NATUSD","A","2020",6.619343,
"FIN","PPP","TOT","NATUSD","A","2020",0.843277,
"FRA","PPP","TOT","NATUSD","A","2020",0.72585,
"DEU","PPP","TOT","NATUSD","A","2020",0.736867,
"GRC","PPP","TOT","NATUSD","A","2020",0.551697,
"HUN","PPP","TOT","NATUSD","A","2020",148.504581,
"ISL","PPP","TOT","NATUSD","A","2020",149.384543,
"IRL","PPP","TOT","NATUSD","A","2020",0.799545,
"ITA","PPP","TOT","NATUSD","A","2020",0.66247,
"JPN","PPP","TOT","NATUSD","A","2020",101.220834,
"KOR","PPP","TOT","NATUSD","A","2020",822.997634,
"LUX","PPP","TOT","NATUSD","A","2020",0.862699,
"MEX","PPP","TOT","NATUSD","A","2020",9.379863,
"NLD","PPP","TOT","NATUSD","A","2020",0.772452,
"NZL","PPP","TOT","NATUSD","A","2020",1.444959,
"NOR","PPP","TOT","NATUSD","A","2020",10.099644,
"POL","PPP","TOT","NATUSD","A","2020",1.786901,
"PRT","PPP","TOT","NATUSD","A","2020",0.56741,
"SVK","PPP","TOT","NATUSD","A","2020",0.536861,
"ESP","PPP","TOT","NATUSD","A","2020",0.626132,
"SWE","PPP","TOT","NATUSD","A","2020",8.730297,
"CHE","PPP","TOT","NATUSD","A","2020",1.137484,
"TUR","PPP","TOT","NATUSD","A","2020",2.192737,
"GBR","PPP","TOT","NATUSD","A","2020",0.687603,
"USA","PPP","TOT","NATUSD","A","2020",1,
"BRA","PPP","TOT","NATUSD","A","2020",2.361703,
"CHL","PPP","TOT","NATUSD","A","2020",423.464041,
"CHN","PPP","TOT","NATUSD","A","2020",4.185602,
"COL","PPP","TOT","NATUSD","A","2020",1258.209373,
"EST","PPP","TOT","NATUSD","A","2020",0.535092,
"IND","PPP","TOT","NATUSD","A","2020",21.989558,
"IDN","PPP","TOT","NATUSD","A","2020",4673.649339,
"ISR","PPP","TOT","NATUSD","A","2020",3.787956,
"RUS","PPP","TOT","NATUSD","A","2020",24.501675,
"SVN","PPP","TOT","NATUSD","A","2020",0.560635,
"ZAF","PPP","TOT","NATUSD","A","2020",6.933438,
"LVA","PPP","TOT","NATUSD","A","2020",0.492246,
"LTU","PPP","TOT","NATUSD","A","2020",0.454672,
"SAU","PPP","TOT","NATUSD","A","2020",1.612697,
"EA19","PPP","TOT","NATUSD","A","2020",0.704463,
"ARG","PPP","TOT","NATUSD","A","2020",28.673797,
"CRI","PPP","TOT","NATUSD","A","2020",317.797646,
"BGR","PPP","TOT","NATUSD","A","2020",0.702816,
"HRV","PPP","TOT","NATUSD","A","2020",3.241294,
"CYP","PPP","TOT","NATUSD","A","2020",0.610874,
"MLT","PPP","TOT","NATUSD","A","2020",0.584874,
"ROU","PPP","TOT","NATUSD","A","2020",1.704147,
"MKD","PPP","TOT","NATUSD","A","2020",18.891123,
"EU27_2020","PPP","TOT","NATUSD","A","2020",0.666878,
